dataHoraCotacao,valor_cotacao,timestamp_processamento
2017-01-13,3.2028,2026-04-11T15:11:55.728Z
2017-01-14,3.2028,2026-04-11T15:11:55.728Z
2017-01-15,3.2028,2026-04-11T15:11:55.728Z
2017-01-16,3.2228,2026-04-11T15:11:55.728Z
2017-01-17,3.2094,2026-04-11T15:11:55.728Z
2017-01-18,3.2205,2026-04-11T15:11:55.728Z
2017-01-19,3.2107,2026-04-11T15:11:55.728Z
2017-01-20,3.1912,2026-04-11T15:11:55.728Z
2017-01-21,3.1912,2026-04-11T15:11:55.728Z
2017-01-22,3.1912,2026-04-11T15:11:55.728Z
2017-01-23,3.1603,2026-04-11T15:11:55.728Z
2017-01-24,3.1643,2026-04-11T15:11:55.728Z
2017-01-25,3.1679,2026-04-11T15:11:55.728Z
2017-01-26,3.1798,2026-04-11T15:11:55.728Z
2017-01-27,3.159,2026-04-11T15:11:55.728Z
2017-01-28,3.159,2026-04-11T15:11:55.728Z
2017-01-29,3.159,2026-04-11T15:11:55.728Z
2017-01-30,3.131,2026-04-11T15:11:55.728Z
2017-01-31,3.1264,2026-04-11T15:11:55.728Z
2017-02-01,3.1473,2026-04-11T15:11:55.728Z
2017-02-02,3.119,2026-04-11T15:11:55.728Z
2017-02-03,3.1235,2026-04-11T15:11:55.728Z
2017-02-04,3.1235,2026-04-11T15:11:55.728Z
2017-02-05,3.1235,2026-04-11T15:11:55.728Z
2017-02-06,3.1173,2026-04-11T15:11:55.728Z
2017-02-07,3.1298,2026-04-11T15:11:55.728Z
2017-02-08,3.1248,2026-04-11T15:11:55.728Z
2017-02-09,3.1179,2026-04-11T15:11:55.728Z
2017-02-10,3.1149,2026-04-11T15:11:55.728Z
2017-02-11,3.1149,2026-04-11T15:11:55.728Z
2017-02-12,3.1149,2026-04-11T15:11:55.728Z
2017-02-13,3.1169,2026-04-11T15:11:55.728Z
2017-02-14,3.0998,2026-04-11T15:11:55.728Z
2017-02-15,3.0773,2026-04-11T15:11:55.728Z
2017-02-16,3.0504,2026-04-11T15:11:55.728Z
2017-02-17,3.0944,2026-04-11T15:11:55.728Z
2017-02-18,3.0944,2026-04-11T15:11:55.728Z
2017-02-19,3.0944,2026-04-11T15:11:55.728Z
2017-02-20,3.0912,2026-04-11T15:11:55.728Z
2017-02-21,3.0964,2026-04-11T15:11:55.728Z
2017-02-22,3.0818,2026-04-11T15:11:55.728Z
2017-02-23,3.0632,2026-04-11T15:11:55.728Z
2017-02-24,3.0987,2026-04-11T15:11:55.728Z
2017-02-25,3.0987,2026-04-11T15:11:55.728Z
2017-02-26,3.0987,2026-04-11T15:11:55.728Z
2017-02-27,3.0987,2026-04-11T15:11:55.728Z
2017-02-28,3.0987,2026-04-11T15:11:55.728Z
2017-03-01,3.097,2026-04-11T15:11:55.728Z
2017-03-02,3.1132,2026-04-11T15:11:55.728Z
2017-03-03,3.1358,2026-04-11T15:11:55.728Z
2017-03-04,3.1358,2026-04-11T15:11:55.728Z
2017-03-05,3.1358,2026-04-11T15:11:55.728Z
2017-03-06,3.1105,2026-04-11T15:11:55.728Z
2017-03-07,3.1179,2026-04-11T15:11:55.728Z
2017-03-08,3.1471,2026-04-11T15:11:55.728Z
2017-03-09,3.1729,2026-04-11T15:11:55.728Z
2017-03-10,3.1617,2026-04-11T15:11:55.728Z
2017-03-11,3.1617,2026-04-11T15:11:55.728Z
2017-03-12,3.1617,2026-04-11T15:11:55.728Z
2017-03-13,3.1535,2026-04-11T15:11:55.728Z
2017-03-14,3.1633,2026-04-11T15:11:55.728Z
2017-03-15,3.1623,2026-04-11T15:11:55.728Z
2017-03-16,3.1074,2026-04-11T15:11:55.728Z
2017-03-17,3.1069,2026-04-11T15:11:55.728Z
2017-03-18,3.1069,2026-04-11T15:11:55.728Z
2017-03-19,3.1069,2026-04-11T15:11:55.728Z
2017-03-20,3.0892,2026-04-11T15:11:55.728Z
2017-03-21,3.0759,2026-04-11T15:11:55.728Z
2017-03-22,3.0933,2026-04-11T15:11:55.728Z
2017-03-23,3.1242,2026-04-11T15:11:55.728Z
2017-03-24,3.1276,2026-04-11T15:11:55.728Z
2017-03-25,3.1276,2026-04-11T15:11:55.728Z
2017-03-26,3.1276,2026-04-11T15:11:55.728Z
2017-03-27,3.125,2026-04-11T15:11:55.728Z
2017-03-28,3.1297,2026-04-11T15:11:55.728Z
2017-03-29,3.1223,2026-04-11T15:11:55.728Z
2017-03-30,3.1241,2026-04-11T15:11:55.728Z
2017-03-31,3.1678,2026-04-11T15:11:55.728Z
2017-04-01,3.1678,2026-04-11T15:11:55.728Z
2017-04-02,3.1678,2026-04-11T15:11:55.728Z
2017-04-03,3.1161,2026-04-11T15:11:55.728Z
2017-04-04,3.1225,2026-04-11T15:11:55.728Z
2017-04-05,3.0917,2026-04-11T15:11:55.728Z
2017-04-06,3.1154,2026-04-11T15:11:55.728Z
2017-04-07,3.1296,2026-04-11T15:11:55.728Z
2017-04-08,3.1296,2026-04-11T15:11:55.728Z
2017-04-09,3.1296,2026-04-11T15:11:55.728Z
2017-04-10,3.1403,2026-04-11T15:11:55.728Z
2017-04-11,3.1418,2026-04-11T15:11:55.728Z
2017-04-12,3.1457,2026-04-11T15:11:55.728Z
2017-04-13,3.1263,2026-04-11T15:11:55.728Z
2017-04-14,3.1263,2026-04-11T15:11:55.728Z
2017-04-15,3.1263,2026-04-11T15:11:55.728Z
2017-04-16,3.1263,2026-04-11T15:11:55.728Z
2017-04-17,3.103,2026-04-11T15:11:55.728Z
2017-04-18,3.0952,2026-04-11T15:11:55.728Z
2017-04-19,3.1288,2026-04-11T15:11:55.728Z
2017-04-20,3.1447,2026-04-11T15:11:55.728Z
2017-04-21,3.1447,2026-04-11T15:11:55.728Z
2017-04-22,3.1447,2026-04-11T15:11:55.728Z
